title,status,id,layout,client,year,sector,description,brief,solution,services,awards,quotes,link,main_image,images
Startup Design Assistance for Indiegogo Fundraising,active,stemp__wireless_thermometer,project,Stemp,2017,"Consumer electronics, digital health",Smart fever monitor constantly measures temperature and sends smartphone alerts for parents and caregivers.,"Stemp's founding team needed an industrial design for their prototype wireless thermometer, and graphic design for their Indiegogo fundraising campaign.","Keydesign created a housing around Stemp's working PCB prototype and designed an easy to use peel-and-place adhesive for attachment. As the product neared the Indiegogo launch, we also helped redesign the graphics for the website to give a clear message to the consumer, leading to a successful Indiegogo crowdfunding campaign.","[design research, ideation, user-centered design, prototyping, product testing, ergonomics, 3D CAD modeling, surfacing, photorealistic rendering, branding and identity]",,,https://www.indiegogo.com/projects/stemp-smart-temperature-patch#/,/assets/images/projects/stemp__wireless_thermometer/h_w_Stemp.jpg,"[/assets/images/projects/stemp__wireless_thermometer/p_w_Stemp_01.jpg, /assets/images/projects/stemp__wireless_thermometer/p_w_Stemp_02.jpg, /assets/images/projects/stemp__wireless_thermometer/p_w_Stemp_03.jpg]"
Tilt Five Packaging Design,active,tilt_five__packaging_design,project,Tilt Five,2022,Product packaging,Packaging design of Tilt Five's keepsake box for their innovative AR glasses.,"After running a successful Kickstarter campaign, Tilt Five approached our team to collaborate on the packaging design for a keepsake box that would house their innovative AR glasses. They sought our expertise to ensure a memorable unboxing experience for their enthusiastic Kickstarter backers.","The design not only showcases the content inside the box but also conveys the magic that awaits when the AR glasses are worn, transforming the world into an immersive three-dimensional augmented reality. The choice of colors, graphics, and gold foil material enhances this captivating experience, visually communicating the enchantment of the games.","[design research, branding and identity, ideation, illustration, packaging design, 2D CAD, design documentation]",,,“https://www.tiltfive.com/”,/assets/images/projects/tilt_five__packaging/h_w_TiltFive.jpg,"[/assets/images/projects/tilt_five__packaging/p_w_TiltFive_01.jpg, /assets/images/projects/tilt_five__packaging/p_w_TiltFive_02.jpg, /assets/images/projects/tilt_five__packaging/p_w_TiltFive_03.jpg]"
Trend Research,active,various__trend_research,project,"""Various""",,,Twice a year we create trend reports based on our market research: Fall/Winter and Spring/Summer.,"Fashion, new materials and technologies are constantly evolving. In order to create something new for tomorrow it is very important to understand what is happening today, and the progression of trends over time.","We help our clients stay ahead of emerging trends by collecting, analyzing and presenting data as a useful guideline to apply in culturally relevant new products.","[researching trends (fashion, materials, architecture, technology), analyzing trends, report documentation]",,,,/assets/images/projects/various__trend_research/h_w_Trends.jpg,"[/assets/images/projects/various__trend_research/p_w_Trends_01.jpg, /assets/images/projects/various__trend_research/p_w_Trends_02.jpg]"
Armor Shield Anti-shock Case for iPhone,active,zuslab__armor_shield_anti_shock_case_iphone,project,Zuslab,2017,"Consumer electronics, mobile accessories","A sleek, urban rugged protective case for iPhone.","Zuslab approached Keydesign to redesign their popular Armor Shield case, to refresh the styling and reduce the cost of the current multi-part construction.","Using Zuslab’s visual brand language, Keydesign designed a two-part case with various textures to highlight the functional elements of the rugged design. The new design resulted in reduced manufacturing time and lowered material costs.","[design research, ideation, branding consistency, 3D CAD modeling, surfacing, color, material, finish selection (CMF), collaboration with engineers and developers, manufacturing support]",,,https://www.zuslab.com/copy-of-red-ix-armor-shield-anti-s,/assets/images/projects/zuslab__armor_shield_anti_shock_case_iphone/h_w_Zuslab.jpg,"[/assets/images/projects/zuslab__armor_shield_anti_shock_case_iphone/p_w_Zuslab_01.jpg, /assets/images/projects/zuslab__armor_shield_anti_shock_case_iphone/p_w_Zuslab_02.jpg, /assets/images/projects/zuslab__armor_shield_anti_shock_case_iphone/p_w_Zuslab_03.jpg, /assets/images/projects/zuslab__armor_shield_anti_shock_case_iphone/p_w_Zuslab_04.jpg]"
Chocolate 3D Printing Pen,active,chocolate_3d_printing_pen,idea,,,,,"Decorating with melted chocolate is a messy process that involves lots of dirty dishes and leave behind unused, wasted chocolate.","Inspired by 3D printing pens, this device melts chocolate sticks for easy decorating. Uses only the chocolate you need with no waste, and no need for a big cleanup!","[design research, ideation, innovation, user-centered design, prototyping, 3D CAD modeling, photorealistic rendering]",,,,/assets/images/ideas/chocolate_3d_printing_pen/h_i_Chocolate 3D printing pen.jpg,"[/assets/images/ideas/chocolate_3d_printing_pen/p_i_Chocolate 3D printing pen_01.jpg, /assets/images/ideas/chocolate_3d_printing_pen/p_i_Chocolate 3D printing pen_02.jpg]"
Color Me Healthy,active,color_me_healthy,idea,,,,,Primary causes of obesity and related health issues like diabetes are a combination of an unhealthy diet and lack of physical activity.,"A toy that develops healthy eating habits in children. This brightly coloured abacus and its measuring cup allow children to keep track of the 3 healthy meals they eat each day. Adding colour to meals helps live a longer, healthier life. Each colour group, of fruits and vegetables, contains a unique combination of powerful phytonutrients known to protect our bodies from chronic diseases.","[design research, ideation, innovation, user-centered design, prototyping, 3D CAD modeling, photorealistic rendering]",,,,/assets/images/ideas/color_me_healthy/h_i_ColorMeHealthy.jpg,"[/assets/images/ideas/color_me_healthy/p_i_ColorMeHealthy_01.jpg, /assets/images/ideas/color_me_healthy/p_i_ColorMeHealthy_02.jpg]"
Milk Frother,active,milk_frother,idea,,,,,"Our goal was to design a milk frother that combines charm with practicality, ensuring it is easy to use and clean.","Inspired by the classic charm of milk bottles, this frother is a great addition to any tableware collection. This frother is designed to be easy to use, clean, and refill.","[design research, ideation, innovation, user-centered design, prototyping, 3D CAD modeling, photorealistic rendering]",,,,/assets/images/ideas/milk_frother/h_i_Milk frother.jpg,"[/assets/images/ideas/milk_frother/p_i_Milk frother_01.jpg, /assets/images/ideas/milk_frother/p_i_Milk frother_02.jpg]"
Design Competition,active,samsung_mobile_design_competition,idea,,,,,"As fantastic as mobile devices are, there are moments when we simply desire to share a bigger picture with others.","MobiScreen is a portable display that allows you to share your mobile content from any Samsung Galaxy device, no matter where life takes you. Its 27"" retractable display fits into a slim, portable housing and opens with a simple button press. With its internal speakers, you can enjoy your content to its fullest.","[design research, ideation, innovation, user-centered design, prototyping, 3D CAD modeling, photorealistic rendering]",,,,/assets/images/ideas/samsung_mobile_design_competition/h_i_Samsung Mobile Design Competition 2019.jpg,"[/assets/images/ideas/samsung_mobile_design_competition/p_i_Samsung Mobile Design Competition 2019_01.jpg, /assets/images/ideas/samsung_mobile_design_competition/p_i_Samsung Mobile Design Competition 2019_02.jpg]"
Hourglass Teacup,active,sand_clock_teacup,idea,,,,,"Often, we can find ourselves rushing through life, preoccupied with our thoughts, without pausing to recognize how those thoughts are influencing our emotions and actions.",Refresh and relax your mind with the calming motion of falling sand during this 5-minute tea ceremony. Use your tea time to pull away from your mobile phone or digital timer and enjoy the moment.,"[design research, ideation, innovation, user-centered design, prototyping, 3D CAD modeling, photorealistic rendering]",,,,/assets/images/ideas/sand_clock _teacup/h_i_Tea sand timer.jpg,"[/assets/images/ideas/sand_clock _teacup/p_i_Tea sand timer_01.jpg, /assets/images/ideas/sand_clock _teacup/p_i_Tea sand timer_02.jpg]"
Wine Glass Packaging,active,wine_glass_packaging,idea,,,,,Charming and distinctive packaging is required for the crystal wine glasses.,"By employing visual elements to narrate a tale, the box's shape effectively conveys its contents. The box is made from a single piece of cardboard that is folded to offer highly functional support for the wine glasses.","[design research, ideation, innovation, user-centered design, prototyping, 3D CAD modeling, photorealistic rendering]",,,,/assets/images/ideas/wine_glass_packaging/h_i_Wine Glass Packaging.jpg,"[/assets/images/ideas/wine_glass_packaging/p_i_Wine Glass Packaging_01.jpg, /assets/images/ideas/wine_glass_packaging/p_i_Wine Glass Packaging_02.jpg, /assets/images/ideas/wine_glass_packaging/p_i_Wine Glass Packaging_03.jpg]"
Chocolate Chess - Inspired with Legend,inactive,chocolate_chess,idea,,,,Souvenir box of chocolates with a fun story and experience,A commonly frustration is having to buy or receive a souvenir from someone. These items often just collect dust or get tossed out.,"This souvenir is inspired with the lovely legend of a Croatian king who played chess with an Italian king to win his freedom and the Dalmatian islands. Out of gratitude, he took the checkered board to be the Croatian coat of arms. In this chocolate version, players eat their winning chocolate figures. The crosses of the kings crown are used as a visual element for the wrapper design. This souvenir brings sweet joy home from the vacation and the chocolates are delicious!","['research', 'ideation', 'prototyping']",,,,/assets/images/ideas/chocolate_chess/main.jpg,"[/assets/images/ideas/chocolate_chess/01.jpg, /assets/images/ideas/chocolate_chess/02.jpg, /assets/images/ideas/chocolate_chess/03.jpg]"
Wave Chair,inactive,wave_chair,idea,,,,Dining chair combining dining furniture aesthetics and ergonomics of good sitting.,Bad posture affects our digestion. Dining room chairs are designed primarily with aesthetics in mind. Task chairs are built and look like ergonomic devices. The challenge was to create a chair that combined both good aesthetics and proper ergonomic support.,Wave Chair is a good balance of pleasant ergonomics and dining room aesthetics. Sitting on Wave Chair decompresses the abdominal area and aides with proper digestion and enjoinment of the meal.,"['research (market, ergonomics)', 'ideation', 'prototyping', 3D CAD']",,,,/assets/images/ideas/wave_chair/main.jpg,"[/assets/images/ideas/wave_chair/01.jpg, /assets/images/ideas/wave_chair/02.jpg, /assets/images/ideas/wave_chair/03.jpg]"
Social Connected Robot,inactive,tovbot,project,,,,"Shimi is a social, connected robot that plays music from your smartphone and dances along with the beat.",Tovbot needed redesign of their initial prototype to make it more market-ready.,"To match the visual aesthetic more closely to the desired high-tech appeal of Shimi, we used a natural aluminum and charcoal gray (Macbook-like) paint finish with a blue glow around the main button as an indicator that the robot is on. The shape of the robot was unified and simplified using more clean geometric forms.","['research', 'ideation', '3D CAD']",,,,/assets/images/projects/tovbot/main.gif,"[/assets/images/projects/tovbot/01.jpg, /assets/images/projects/tovbot/02.jpg, /assets/images/projects/tovbot/03.jpg]"
